HiggsM,DNN_score,DPhi_jj,Eta_jj,M_jj,Njets,OO1
119766.82,-1.0351187,2.6261458,3.5672693,240139.98,2,0.045522515
123790.3,1.4449675,1.4063178,5.5888157,731049.3,4,0.1918984
120219.93,-3.353167,1.2279298,2.463645,177353.94,6,0.099778555
118065.18,-0.19498152,1.8957274,4.865324,370559.28,2,-0.07633903
115391.81,-0.9142883,0.51312405,5.59035,707453.4,4,0.08046877
131015.14,1.5112807,2.8883553,5.2628145,697396.75,3,-0.0216781
115817.47,-2.0847206,3.0334706,3.7358916,1.416102e+06,3,0.21329312
133983.62,1.3887336,2.5569568,3.232183,306863.4,3,-0.11975645
126381.57,-2.333724,2.5566986,2.4991956,155439.86,3,-0.057697844
133924.86,-1.0952291,2.774013,6.6449013,1.0613762e+06,4,0.092104934
134957.31,-2.6200604,2.9395192,2.0069404,486787.7,5,-0.41958582
124785.24,-3.3048236,3.0337622,3.6620247,456440.3,4,-0.020916713
120068.44,-2.7132304,2.5639284,3.3181083,1.1402448e+06,4,-0.61264545
130116.8,-0.80623734,1.4050559,4.0220923,274706.06,2,-0.031978995
123088.51,-1.3992188,2.595118,4.017434,623104.1,4,0.040059827
117724.75,0.90318936,2.0633085,3.0807085,270308.0,2,0.206339
128526.94,-2.4863622,1.479779,2.2771103,196467.45,4,-0.17452791
125563.32,-0.4548646,2.3771794,2.377087,175313.67,2,0.14452633
119666.36,-4.027878,2.637866,6.59231,850009.8,4,0.02986542
116794.31,-1.1071972,2.878651,3.2603903,291564.75,2,-0.014856981
123948.58,-0.38981774,3.1224246,2.6576836,873769.8,6,-0.35540143
133888.48,-2.5379071,0.033807635,5.6741524,563770.9,4,0.54873145
122368.414,0.42316952,0.9559882,3.3529282,411016.25,5,-0.56419134
131701.34,0.739073,0.8697076,2.7725167,190669.19,2,-0.21275465
119940.63,-4.0656595,0.8648861,5.9882746,637874.44,4,-0.034539014
122537.79,-2.3223348,1.619777,2.6033788,211542.94,2,0.74031854
124897.234,-0.8791859,2.4709506,2.8071935,277134.97,2,0.17635393
124948.05,-0.45939308,2.0651593,2.2128537,160083.45,2,0.20761655
121270.29,-1.4249915,2.005679,3.8152869,508802.5,5,0.12413503
123508.43,-4.072449,2.847653,2.1813822,121680.15,4,-0.018171176
127998.1,0.7683266,1.584871,2.0191503,283647.78,3,2.0579557
121759.31,-3.4174237,1.8909394,2.8871102,511692.1,7,-0.47808453
119185.8,2.616167,1.1892759,5.5729375,933827.3,4,-0.2322367
134685.83,-1.4548582,2.5898783,3.4087844,261977.61,3,0.08697327
115211.76,0.9201216,2.9300525,6.894607,1.2937152e+06,4,-0.007543814
123598.42,-2.1800814,0.6346997,3.3806603,428473.12,3,-0.8606355
116016.516,-3.3729293,0.43920475,3.0186932,169674.86,3,0.1995945
126505.46,-2.819455,2.5801737,2.707305,222544.47,4,-0.38175243
