,HiggsM,Frequency,DNN_score,DPhi_jj,Eta_jj,M_jj,Njets,OO1,Zepp,finalWeight,is_Passed_yy,lumiXsecWeight
0,104997.5,22086,-1.4586444,2.041673,3.5906813,454709.78,3.3327900027166533,-0.0019701642,0.005420316,0.0057410114,1.0,1.2207584e-09
1,105075.0,22530,-1.442698,2.0419998,3.5912778,454159.03,3.31988459831336,-0.017298102,-0.023551384,0.005727317,1.0,1.2213097e-09
2,105125.0,21945,-1.4709905,2.0388403,3.5803928,449949.8,3.345272271588061,-0.001422257,0.010306999,0.005846867,1.0,1.221466e-09
3,105175.0,21957,-1.4619607,2.031807,3.581577,452854.28,3.3184861319852437,-0.0033525666,-0.0017628212,0.0057552583,1.0,1.2209131e-09
4,105225.0,22062,-1.4580023,2.0335772,3.57582,449561.53,3.313570845798205,-0.0040691956,0.0019026042,0.0057053636,1.0,1.221336e-09
5,105275.0,21642,-1.4632125,2.0452914,3.5730882,453117.62,3.3418353202107016,-0.0002085761,-0.0022798923,0.0057629845,1.0,1.2214726e-09
6,105325.0,22066,-1.4650555,2.0346956,3.586723,451988.72,3.339572192513369,-0.0011811052,-0.009284122,0.005778271,1.0,1.2206467e-09
7,105375.0,21970,-1.4791791,2.035193,3.5860434,452601.84,3.343422849340009,0.0015340816,-0.0081773205,0.0057660122,1.0,1.2222366e-09
8,105425.0,21926,-1.4743459,2.033131,3.583159,451579.78,3.33991608136459,0.00023358692,0.002993014,0.0057437466,1.0,1.2209995e-09
9,105475.0,21971,-1.4532157,2.039242,3.5753922,446814.44,3.3232442765463563,0.0021148042,-0.0076142685,0.0058092196,1.0,1.2208397e-09
10,105525.0,22136,-1.4767588,2.041173,3.586665,455009.28,3.349611492591254,0.005863161,-0.037355307,0.005739608,1.0,1.2210285e-09
11,105575.0,21792,-1.4624468,2.0425463,3.5780764,450645.2,3.337279735682819,0.0005715001,-0.0041305185,0.005791092,1.0,1.2215401e-09
12,105625.0,21764,-1.4643184,2.040428,3.5938864,455345.44,3.3441462966366475,0.005585368,-0.003311031,0.0057547665,1.0,1.2212393e-09
13,105675.0,21764,-1.462787,2.0255032,3.5771525,452755.94,3.343043558169454,0.0014250755,-0.0008166225,0.005850326,1.0,1.2214465e-09
14,105725.0,21783,-1.4920809,2.034848,3.5769026,455814.8,3.342882063994858,-0.0007410726,-0.023409093,0.005790253,1.0,1.2215832e-09
15,105775.0,21525,-1.4858768,2.0397012,3.5725806,446991.44,3.3098257839721255,-0.00026051656,0.0006829808,0.0057294252,1.0,1.2211984e-09
16,105825.0,21632,-1.4785782,2.0337074,3.5790973,451444.03,3.338757396449704,0.0005450761,-0.014102314,0.005811541,1.0,1.2215344e-09
17,105875.0,21654,-1.4597988,2.030876,3.5840626,456053.9,3.319756165142699,-0.003835887,-0.013990964,0.005741135,1.0,1.2208211e-09
18,105925.0,21490,-1.465879,2.0336244,3.6016755,455769.97,3.340856212191717,-0.0010832031,-0.0037471934,0.0057666562,1.0,1.2210828e-09
19,105975.0,21522,-1.456088,2.0434093,3.587707,454969.56,3.3259455440944152,-0.001870082,-0.0011224113,0.005840656,1.0,1.2215245e-09
20,106025.0,21715,-1.4654542,2.0349774,3.5684538,452793.2,3.320976283674879,-0.00041013144,-0.026529739,0.00575163,1.0,1.2212809e-09
21,106075.0,21607,-1.4789047,2.037724,3.5945213,456797.4,3.3391956310454947,0.000747891,-0.019581268,0.0056335493,1.0,1.2209919e-09
22,106125.0,21772,-1.4580365,2.0296996,3.5920343,456150.2,3.351644313797538,0.00011918937,-0.02890163,0.005780952,1.0,1.2213014e-09
23,106175.0,21356,-1.4656565,2.0408635,3.6000228,453499.0,3.33063307735531,0.0010768308,0.0050088405,0.0057853353,1.0,1.2210034e-09
24,106225.0,21344,-1.4630147,2.0347736,3.5876868,453630.12,3.3279141679160418,-0.00129906,0.009794051,0.005796718,1.0,1.2216121e-09
25,106275.0,21589,-1.4787669,2.0264294,3.5933783,458761.06,3.3265088702580017,0.0015909474,0.02733392,0.0057659014,1.0,1.2207251e-09
26,106325.0,21467,-1.493815,2.0353203,3.5765398,453329.72,3.3189546746168537,-0.002417936,-0.007852858,0.0057513635,1.0,1.2215415e-09
27,106375.0,21478,-1.4536027,2.0277975,3.5843217,457084.78,3.3261476860042833,-0.0016618104,-0.013067379,0.0058519635,1.0,1.2217698e-09
28,106425.0,21243,-1.491627,2.0463681,3.5816019,454958.0,3.332815515699289,-0.0006316153,-0.02653472,0.005759448,1.0,1.2214504e-09
29,106475.0,21542,-1.4735259,2.036904,3.5777416,452363.28,3.330702813109275,-0.00062086375,-0.007876794,0.005713305,1.0,1.2221806e-09
30,106525.0,21460,-1.4771273,2.0352192,3.591314,455274.94,3.337232059645853,-0.004486122,-0.010694285,0.0057154275,1.0,1.2206539e-09
31,106575.0,21666,-1.4932759,2.0395088,3.5765781,453597.12,3.3404412443459797,0.004427109,0.013328919,0.0057132696,1.0,1.2216272e-09
32,106625.0,21411,-1.4630644,2.030876,3.58567,453556.6,3.3201158283125496,-0.0019118865,0.007518947,0.00569829,1.0,1.2214242e-09
33,106675.0,21312,-1.485363,2.0449061,3.581385,453318.0,3.3327233483483485,0.000762739,-0.013383849,0.0057875775,1.0,1.2211245e-09
34,106725.0,21436,-1.460906,2.03085,3.584564,454802.8,3.337702929651054,-0.002360371,-0.01913321,0.005796374,1.0,1.2210589e-09
35,106775.0,21510,-1.478559,2.0396743,3.5748386,450495.72,3.326871222687122,-0.0022433423,-0.014371953,0.0057721245,1.0,1.2207053e-09
36,106825.0,21219,-1.4916508,2.0442054,3.5835543,456074.03,3.3535981903011454,0.00015770654,-0.003916023,0.0057539977,1.0,1.2215089e-09
37,106875.0,21078,-1.4772917,2.0341048,3.5870442,450508.6,3.3235601100673686,-0.0051515275,0.0073071993,0.00565491,1.0,1.221352e-09
38,106925.0,21214,-1.4897803,2.030933,3.5812225,451635.84,3.33364759121335,0.0028503917,-0.010340257,0.005774285,1.0,1.2214041e-09
39,106975.0,21284,-1.4514109,2.039357,3.5899796,455894.7,3.3354162751362524,0.0014413369,0.007382502,0.0058106766,1.0,1.2209012e-09
40,107025.0,21255,-1.4919101,2.0485804,3.5657496,453315.72,3.320818630910374,0.0001536886,-0.0038123322,0.0057400633,1.0,1.2211532e-09
41,107075.0,21076,-1.4804031,2.0307984,3.572924,453795.0,3.322879104194344,0.001004834,-0.000261816,0.0057875826,1.0,1.2219016e-09
42,107125.0,21242,-1.4788644,2.0340736,3.5702617,450178.75,3.3287355239619623,-0.0044410457,-0.019097948,0.005894479,1.0,1.2227371e-09
43,107175.0,21165,-1.4726689,2.0389974,3.5803847,456764.8,3.3365934325537445,0.0023832342,-0.020330127,0.005746196,1.0,1.2214723e-09
44,107225.0,20976,-1.4712635,2.0347075,3.6033514,462664.25,3.35912471395881,0.0025702275,-0.018673172,0.0057341014,1.0,1.2214875e-09
45,107275.0,21143,-1.471747,2.0436077,3.5701635,455902.6,3.329376152863832,-0.000253539,0.010007716,0.0058435313,1.0,1.2209386e-09
46,107325.0,20920,-1.492785,2.031615,3.576702,449201.94,3.342495219885277,0.00089617376,-0.01169532,0.0058348207,1.0,1.2218101e-09
47,107375.0,21218,-1.4741931,2.0267427,3.5835679,450709.03,3.3449429729474973,-0.0027286208,0.008490471,0.0057174633,1.0,1.2212708e-09
48,107425.0,20849,-1.4552078,2.0465772,3.5645752,449261.88,3.3271140102642813,0.0018922063,-0.0070376364,0.0058018123,1.0,1.221363e-09
49,107475.0,20778,-1.4959016,2.043683,3.548796,446943.12,3.3332852055058235,0.002443577,-0.0041127694,0.0057208096,1.0,1.2212699e-09
50,107525.0,21013,-1.4864638,2.0332425,3.5803237,453904.06,3.359967639080569,-0.0034495308,-0.0115301525,0.0057117143,1.0,1.2215905e-09
51,107575.0,20924,-1.4861326,2.0403867,3.5689354,450202.22,3.3332536799847063,0.0015747327,0.015279126,0.005796586,1.0,1.2211085e-09
52,107625.0,20771,-1.4742401,2.0401852,3.573076,452642.72,3.3296422897308746,0.0009475777,-0.0133047635,0.005736071,1.0,1.2217046e-09
53,107675.0,20800,-1.4857538,2.0273333,3.5757008,454745.8,3.340673076923077,-0.00064347795,-0.007952789,0.005812658,1.0,1.2215898e-09
54,107725.0,20619,-1.4837493,2.0331032,3.5780303,455406.72,3.3471070371987004,-0.0022337418,-0.0032710636,0.005783005,1.0,1.2209501e-09
55,107775.0,20877,-1.4755898,2.0370047,3.5643191,449651.38,3.3416199645542943,0.0028898767,0.004679526,0.0058184606,1.0,1.2219515e-09
56,107825.0,20751,-1.4872385,2.0358884,3.577718,451496.47,3.3298636210303116,-0.0016408449,-0.018329479,0.005806226,1.0,1.2216579e-09
57,107875.0,20577,-1.4743348,2.029691,3.576295,449755.12,3.3317296010108373,-0.0011719124,0.020161077,0.0058784788,1.0,1.2210525e-09
58,107925.0,20630,-1.4953172,2.0377934,3.5596738,449165.9,3.3290838584585556,0.00041211327,-0.025417805,0.0058638896,1.0,1.2223564e-09
59,107975.0,20640,-1.4761053,2.021764,3.5851908,454944.06,3.328488372093023,-0.0035050155,0.0071880613,0.0056291632,1.0,1.2208573e-09
60,108025.0,20465,-1.4719826,2.034769,3.5712917,454001.06,3.342193989738578,0.00035280533,-0.017050339,0.005881735,1.0,1.2223045e-09
61,108075.0,20769,-1.4786723,2.03375,3.5707877,452361.38,3.334633347777938,0.001998966,-0.0015968109,0.00568584,1.0,1.2218281e-09
62,108125.0,20610,-1.4815679,2.024966,3.5935135,459373.94,3.3560407569141195,-0.00019253207,-0.0008638854,0.005869192,1.0,1.2206393e-09
63,108175.0,20822,-1.4709529,2.0412753,3.5732248,458164.5,3.3410335222360965,-0.0015717833,-0.016036045,0.0058095967,1.0,1.222175e-09
64,108225.0,20570,-1.4780204,2.030987,3.5847986,454185.53,3.3295089936801165,-0.0023240442,0.014691729,0.005826829,1.0,1.2206903e-09
65,108275.0,20878,-1.4901298,2.0353749,3.5822988,455552.53,3.3352811571989656,-0.0012882461,0.0061444137,0.0057623074,1.0,1.2211352e-09
